age,dcol,w
7.4996870826184034,0.0,0.6
7.550228353055094,0.0054,0.6
7.599883072073688,0.0087,0.6
7.650307523131937,0.0101,0.6
7.699837725867246,0.0102,0.6
7.749736315569061,0.01,0.6
7.800029359244134,0.0099,0.6
7.850033257689769,0.0097,0.6
7.899820502427096,0.0096,0.6
7.949877704036875,0.0095,0.6
8.0,0.0094,0.6
8.049992856920143,0.0094,0.6
8.100025730107863,0.0094,0.6
8.150142161848558,0.0095,0.6
8.20002926655377,0.0097,0.6
8.249931756634195,0.01,0.6
8.299942900022767,0.0105,0.6
8.35005409357903,0.0111,0.6
8.400019635065158,0.0119,0.6
8.449940988773337,0.0128,0.6
8.499961865596191,0.0138,0.6
8.54998361115969,0.0149,0.6
8.599992177584097,0.0161,0.6
8.650015952471838,0.0173,0.6
8.700011062322112,0.0186,0.6
8.749968083509403,0.0199,0.6
8.800029359244133,0.0212,0.6
8.84997191232885,0.0225,0.6
8.899984562549392,0.0237,0.6
8.950023906523327,0.0248,0.6
9.0,0.0257,0.6
9.049992856920143,0.0263,0.6
9.099991233544685,0.0265,0.6
9.149988456491476,0.0262,0.6
9.200001865406602,0.0251,0.6
9.250005028486896,0.0232,0.6
9.300008202553814,0.0201,0.6
9.349995899262856,0.0157,0.6
9.400002345927955,0.0097,0.6
9.450002630173186,0.0017,0.6
7.4996870826184034,0.0,0.8
7.550228353055094,0.0052,0.8
7.599883072073688,0.0086,0.8
7.650307523131937,0.0103,0.8
7.699837725867246,0.0108,0.8
7.749736315569061,0.0111,0.8
7.800029359244134,0.0115,0.8
7.850033257689769,0.012,0.8
7.899820502427096,0.0124,0.8
7.949877704036875,0.013,0.8
8.0,0.0135,0.8
8.049992856920143,0.0142,0.8
8.100025730107863,0.0149,0.8
8.150142161848558,0.0157,0.8
8.20002926655377,0.0165,0.8
8.249931756634195,0.0175,0.8
8.299942900022767,0.0185,0.8
8.35005409357903,0.0196,0.8
8.400019635065158,0.0208,0.8
8.449940988773337,0.022,0.8
8.499961865596191,0.0234,0.8
8.54998361115969,0.0248,0.8
8.599992177584097,0.0263,0.8
8.650015952471838,0.0279,0.8
8.700011062322112,0.0295,0.8
8.749968083509403,0.0311,0.8
8.800029359244133,0.0326,0.8
8.84997191232885,0.0341,0.8
8.899984562549392,0.0353,0.8
8.950023906523327,0.0364,0.8
9.0,0.0371,0.8
9.049992856920143,0.0374,0.8
9.099991233544685,0.0372,0.8
9.149988456491476,0.0364,0.8
9.200001865406602,0.0348,0.8
9.250005028486896,0.0326,0.8
9.300008202553814,0.0296,0.8
9.349995899262856,0.0251,0.8
9.400002345927955,0.017,0.8
9.450002630173186,0.0025,0.8
7.4996870826184034,0.0,0.95
7.550228353055094,0.005,0.95
7.599883072073688,0.0085,0.95
7.650307523131937,0.0105,0.95
7.699837725867246,0.0117,0.95
7.749736315569061,0.0128,0.95
7.800029359244134,0.014,0.95
7.850033257689769,0.0153,0.95
7.899820502427096,0.0168,0.95
7.949877704036875,0.0183,0.95
8.0,0.0199,0.95
8.049992856920143,0.0217,0.95
8.100025730107863,0.0236,0.95
8.150142161848558,0.0255,0.95
8.20002926655377,0.0276,0.95
8.249931756634195,0.0297,0.95
8.299942900022767,0.0319,0.95
8.35005409357903,0.0341,0.95
8.400019635065158,0.0364,0.95
8.449940988773337,0.0387,0.95
8.499961865596191,0.0411,0.95
8.54998361115969,0.0436,0.95
8.599992177584097,0.0461,0.95
8.650015952471838,0.0486,0.95
8.700011062322112,0.051,0.95
8.749968083509403,0.0532,0.95
8.800029359244133,0.0552,0.95
8.84997191232885,0.0568,0.95
8.899984562549392,0.0579,0.95
8.950023906523327,0.0582,0.95
9.0,0.0577,0.95
9.049992856920143,0.0561,0.95
9.099991233544685,0.0534,0.95
9.149988456491476,0.0495,0.95
9.200001865406602,0.0445,0.95
9.250005028486896,0.039,0.95
9.300008202553814,0.0335,0.95
9.349995899262856,0.0274,0.95
9.400002345927955,0.0187,0.95
9.450002630173186,0.0035,0.95
